['block_rmsd-06da1299616a344fa6df87354a9b3446', 'processing', 'memory', 'tcp://129.114.91.1:52071', 47891426555648, [('compute', 1496176363.541016, 1496176370.993651)]]
['getitem-29cbefd3696dd78faa14955d964f83a6', 'processing', 'memory', 'tcp://129.114.91.1:52071', 47891426555648, [('compute', 1496176370.994496, 1496176370.994502)]]
['block_rmsd-516bab33a1181821a14fba24f4dcc4e4', 'processing', 'memory', 'tcp://129.114.91.3:43393', 47363083609856, [('compute', 1496176364.5751789, 1496176371.0076349)]]
['getitem-52debe396aea29dd0869cf775d7ec503', 'processing', 'memory', 'tcp://129.114.91.3:43393', 47363083609856, [('compute', 1496176371.0086188, 1496176371.008625)]]
['block_rmsd-5197fc30328e89de5920cc4a354d8a0d', 'processing', 'memory', 'tcp://129.114.91.1:39753', 47891426555648, [('compute', 1496176362.338196, 1496176371.788233)]]
['getitem-34c9890bf6e95d4916fa7579a587ca55', 'processing', 'memory', 'tcp://129.114.91.1:39753', 47891426555648, [('compute', 1496176371.7892342, 1496176371.7892401)]]
['block_rmsd-5d5a4875ce84143a761ec54099f27f94', 'processing', 'memory', 'tcp://129.114.91.2:47503', 46941277345536, [('compute', 1496176364.460265, 1496176371.8384259)]]
['getitem-1e7be1c5bd46b11a46647945444a99ae', 'processing', 'memory', 'tcp://129.114.91.2:47503', 46941277345536, [('compute', 1496176371.839324, 1496176371.839329)]]
['block_rmsd-230cc80af797cfd3d455b95f4afe3974', 'processing', 'memory', 'tcp://129.114.90.254:34051', 47520476657408, [('compute', 1496176363.190271, 1496176371.857188)]]
['getitem-46546f76daf58bdd97220b5a3423fe34', 'processing', 'memory', 'tcp://129.114.90.254:34051', 47520476657408, [('compute', 1496176371.859359, 1496176371.859365)]]
['block_rmsd-d70fd340afb68df3b99e032f9f904782', 'processing', 'memory', 'tcp://129.114.91.2:43262', 46941277345536, [('compute', 1496176361.1497118, 1496176372.116423)]]
['getitem-20e203bc8a4b162bac5c0bb1a3e910d7', 'processing', 'memory', 'tcp://129.114.91.2:43262', 46941277345536, [('compute', 1496176372.117435, 1496176372.11744)]]
['block_rmsd-4a0743a9c0e880fbb8cf86f53308537b', 'processing', 'memory', 'tcp://129.114.91.2:39149', 46941277345536, [('compute', 1496176364.0938442, 1496176372.169018)]]
['getitem-23e49ad57391893999f5f35caaaa9984', 'processing', 'memory', 'tcp://129.114.91.2:39149', 46941277345536, [('compute', 1496176372.169933, 1496176372.169938)]]
['block_rmsd-164bb9927ff5af0078f061728e9743e4', 'processing', 'memory', 'tcp://129.114.91.1:42108', 47891426555648, [('compute', 1496176363.7841942, 1496176372.346615)]]
['getitem-346a7327428230e1964141f124ef7bd9', 'processing', 'memory', 'tcp://129.114.91.1:42108', 47891426555648, [('compute', 1496176372.3504772, 1496176372.3504822)]]
['block_rmsd-9de2e296127c45ac9302ff0de7d3ec4f', 'processing', 'memory', 'tcp://129.114.91.3:38439', 47363083609856, [('compute', 1496176361.2800598, 1496176372.480563)]]
['getitem-09d89f0f0777bb1ebdc3ea613d1d4ad1', 'processing', 'memory', 'tcp://129.114.91.3:38439', 47363083609856, [('compute', 1496176372.4816399, 1496176372.4816458)]]
['block_rmsd-fdff8198eadc65e991d214f333bad44d', 'processing', 'memory', 'tcp://129.114.91.2:37310', 46941277345536, [('compute', 1496176361.8309848, 1496176372.795446)]]
['getitem-2570a9b9ab7acc0a26d1cfa0cf8fc521', 'processing', 'memory', 'tcp://129.114.91.2:37310', 46941277345536, [('compute', 1496176372.796412, 1496176372.796418)]]
