['block_rmsd-a6b1c063e3eccddf4b3d4675840617ca', 'processing', 'memory', 'tcp://129.114.91.2:36017', 46941277345536, [('compute', 1496176028.673289, 1496176042.01155)]]
['block_rmsd-10fc73ce4ecaa36be29f1bdbb483182e', 'processing', 'memory', 'tcp://129.114.91.2:37310', 46941277345536, [('compute', 1496176028.652947, 1496176042.068379)]]
['block_rmsd-61092c115206b4d5879659222cd94603', 'processing', 'memory', 'tcp://129.114.90.254:48117', 47520476657408, [('compute', 1496176028.597923, 1496176042.468825)]]
['block_rmsd-5745e78ccaa5ddc8908eedec9f03cc33', 'processing', 'memory', 'tcp://129.114.91.2:54951', 46941277345536, [('compute', 1496176028.695153, 1496176042.5375578)]]
['block_rmsd-1c30c6e66aea04caf318a55a81439864', 'processing', 'memory', 'tcp://129.114.91.3:38515', 47363083609856, [('compute', 1496176028.67094, 1496176042.641768)]]
['block_rmsd-84b3f13666a40edbf43a71174766661d', 'processing', 'memory', 'tcp://129.114.91.1:58144', 47891426555648, [('compute', 1496176028.6874032, 1496176043.4277692)]]
['block_rmsd-9ad4d05d1270d26b41ab79d861efd705', 'processing', 'memory', 'tcp://129.114.91.1:48595', 47891426555648, [('compute', 1496176028.683566, 1496176043.913036)]]
['block_rmsd-3ea853b8c83e0e7ad2f4cfd99d4c8fca', 'processing', 'memory', 'tcp://129.114.90.254:54043', 47520476657408, [('compute', 1496176037.81851, 1496176043.954556)]]
['getitem-22932110fb9d970eb40974409247a730', 'processing', 'memory', 'tcp://129.114.90.254:54043', 47520476657408, [('compute', 1496176043.955537, 1496176043.955542)]]
['block_rmsd-49fb56ac9407a6247f402b7e5a996cb1', 'processing', 'memory', 'tcp://129.114.91.3:40168', 47363083609856, [('compute', 1496176028.688592, 1496176044.064825)]]
['block_rmsd-21d484ea673fe20e6f370c2ab8dd2ca5', 'processing', 'memory', 'tcp://129.114.91.2:49790', 46941277345536, [('compute', 1496176039.2723129, 1496176044.357259)]]
['getitem-50b42b47f7c08a469f8974929fdddb1d', 'processing', 'memory', 'tcp://129.114.91.2:49790', 46941277345536, [('compute', 1496176044.359552, 1496176044.359557)]]
['block_rmsd-a32a55b4d011bc9e49010da42d62b6c9', 'processing', 'memory', 'tcp://129.114.91.1:60980', 47891426555648, [('compute', 1496176028.6715982, 1496176044.4232492)]]
['block_rmsd-c46c3d0e6619634d951ef6b55f530f16', 'processing', 'memory', 'tcp://129.114.91.2:38045', 46941277345536, [('compute', 1496176028.689971, 1496176044.855335)]]
['block_rmsd-005ca2c3133acbdce8cab827722fb396', 'processing', 'memory', 'tcp://129.114.90.254:39375', 47520476657408, [('compute', 1496176038.7286038, 1496176044.967234)]]
['getitem-31b54ac23d89e42e68a19baf55a4db01', 'processing', 'memory', 'tcp://129.114.90.254:39375', 47520476657408, [('compute', 1496176044.9686198, 1496176044.968626)]]
['block_rmsd-04f784b4dee8c2c4a177aa43c96d641f', 'processing', 'memory', 'tcp://129.114.91.1:58919', 47891426555648, [('compute', 1496176028.696476, 1496176045.264413)]]
['block_rmsd-c3e314a43910db645bccfcca4867cce7', 'processing', 'memory', 'tcp://129.114.91.3:41561', 47363083609856, [('compute', 1496176038.791542, 1496176045.6160681)]]
