['block_rmsd-aab7f5c02aac740f9c9cefa2b6de5e6e', 'processing', 'memory', 'tcp://129.114.91.2:36017', 46941277345536, [('compute', 1496173858.519387, 1496173859.741801)]]
['getitem-4dadcdf3c2b598471b6bc2693db82fe1', 'processing', 'memory', 'tcp://129.114.91.2:36017', 46941277345536, [('compute', 1496173859.74259, 1496173859.742595)]]
['block_rmsd-abee65230a16d937f08441ff42bced01', 'processing', 'memory', 'tcp://129.114.91.3:38515', 47363083609856, [('compute', 1496173858.522213, 1496173859.739227)]]
['getitem-363951a3359a24d2307d2c7d8f64ac8c', 'processing', 'memory', 'tcp://129.114.91.3:38515', 47363083609856, [('compute', 1496173859.740094, 1496173859.740099)]]
['block_rmsd-425665ce57e493ada9b8db85821c262b', 'processing', 'memory', 'tcp://129.114.91.1:48617', 47891426555648, [('compute', 1496173858.5033598, 1496173859.7356818)]]
['getitem-078c0b991ef1f9e790bc7310dc63c1c1', 'processing', 'memory', 'tcp://129.114.91.1:48617', 47891426555648, [('compute', 1496173859.7368398, 1496173859.7368448)]]
['block_rmsd-68e6a7badc3f67ac6a1d985854fd5cdf', 'processing', 'memory', 'tcp://129.114.91.2:39149', 46941277345536, [('compute', 1496173858.5018, 1496173859.739803)]]
['getitem-465e356057f9fbd0815880459e330ca6', 'processing', 'memory', 'tcp://129.114.91.2:39149', 46941277345536, [('compute', 1496173859.740686, 1496173859.740691)]]
['block_rmsd-0f9d5d44c4379859f934e647592491f6', 'processing', 'memory', 'tcp://129.114.91.1:43459', 47891426555648, [('compute', 1496173858.498643, 1496173859.736503)]]
['getitem-0e2121486be339838d966c183cadb3d4', 'processing', 'memory', 'tcp://129.114.91.1:43459', 47891426555648, [('compute', 1496173859.738283, 1496173859.738288)]]
['block_rmsd-fcea3562f275988e53baca7309929419', 'processing', 'memory', 'tcp://129.114.91.3:41946', 47363083609856, [('compute', 1496173858.526907, 1496173859.752399)]]
['getitem-32cd92f5de6dfb1b6635766f3ca416c1', 'processing', 'memory', 'tcp://129.114.91.3:41946', 47363083609856, [('compute', 1496173859.7532449, 1496173859.7532508)]]
['block_rmsd-b189e7365fef433ff15fd719fb03f9b0', 'processing', 'memory', 'tcp://129.114.91.3:38199', 47363083609856, [('compute', 1496173858.524731, 1496173859.762863)]]
['getitem-397938eeedb6aac85d22beb7b1b15c75', 'processing', 'memory', 'tcp://129.114.91.3:38199', 47363083609856, [('compute', 1496173859.763763, 1496173859.763768)]]
['block_rmsd-d2b086a3858140ca725fe05a9ae690fa', 'processing', 'memory', 'tcp://129.114.91.1:60519', 47891426555648, [('compute', 1496173858.5050561, 1496173859.7694662)]]
['getitem-022c29a8cec6d82d20e4ed3ead0d4a1d', 'processing', 'memory', 'tcp://129.114.91.1:60519', 47891426555648, [('compute', 1496173859.7797623, 1496173859.7797673)]]
['block_rmsd-3dcd8e94cf35457d5e6952c5229e498a', 'processing', 'memory', 'tcp://129.114.91.2:54951', 46941277345536, [('compute', 1496173858.51569, 1496173859.7584372)]]
['getitem-3cb71ee18a3cde5ef03ae27667e3e43f', 'processing', 'memory', 'tcp://129.114.91.2:54951', 46941277345536, [('compute', 1496173859.759223, 1496173859.759228)]]
['block_rmsd-503861659458c6c861a2afe0c4ca83fc', 'processing', 'memory', 'tcp://129.114.91.2:43001', 46941277345536, [('compute', 1496173858.481173, 1496173859.755655)]]
['getitem-4627c9e019014cb5c8b52089775878a4', 'processing', 'memory', 'tcp://129.114.91.2:43001', 46941277345536, [('compute', 1496173859.7565181, 1496173859.7565231)]]
['block_rmsd-536b92771bdf7acf4923058b31032c3d', 'processing', 'memory', 'tcp://129.114.91.2:38443', 46941277345536, [('compute', 1496173858.515984, 1496173859.748219)]]
['getitem-48b8a69c6cb5c5119ceadb9fd1ce2fb4', 'processing', 'memory', 'tcp://129.114.91.2:38443', 46941277345536, [('compute', 1496173859.749096, 1496173859.749101)]]
['block_rmsd-4e9a52b0cdd7399aa50a8c00efb2d758', 'processing', 'memory', 'tcp://129.114.91.3:46694', 47363083609856, [('compute', 1496173858.4871578, 1496173859.758525)]]
['getitem-31f72f3848c3f6a43db6fb1db26df5b9', 'processing', 'memory', 'tcp://129.114.91.3:46694', 47363083609856, [('compute', 1496173859.7594829, 1496173859.7594879)]]
['block_rmsd-cab039ba55eb43400e08bb5318238c68', 'processing', 'memory', 'tcp://129.114.91.2:49843', 46941277345536, [('compute', 1496173858.5278692, 1496173859.7610571)]]
['getitem-3e4a9912585a16594acba48f0f393e8b', 'processing', 'memory', 'tcp://129.114.91.2:49843', 46941277345536, [('compute', 1496173859.7619002, 1496173859.7619052)]]
['block_rmsd-698b6e5bce6ceeb85a09a4666d83141a', 'processing', 'memory', 'tcp://129.114.91.2:47503', 46941277345536, [('compute', 1496173858.511414, 1496173859.752692)]]
['getitem-4037d4589d49a14507b1269c88bae71c', 'processing', 'memory', 'tcp://129.114.91.2:47503', 46941277345536, [('compute', 1496173859.7534761, 1496173859.75348)]]
['block_rmsd-1776b29427a8b302fbb42ef87f93764a', 'processing', 'memory', 'tcp://129.114.91.2:49790', 46941277345536, [('compute', 1496173858.521748, 1496173859.756542)]]
['getitem-3e8f5d6303af2fe8a30428d1d9762eb0', 'processing', 'memory', 'tcp://129.114.91.2:49790', 46941277345536, [('compute', 1496173859.757401, 1496173859.757406)]]
['block_rmsd-257cfadb31784a3e1a2b6809ec44dc23', 'processing', 'memory', 'tcp://129.114.91.3:46233', 47363083609856, [('compute', 1496173858.5316, 1496173859.749836)]]
['getitem-32a9e35a9b2a4474cab25a3b6b76eeac', 'processing', 'memory', 'tcp://129.114.91.3:46233', 47363083609856, [('compute', 1496173859.750688, 1496173859.750693)]]
['block_rmsd-9a755f35e10e5a18b8850203508e4140', 'processing', 'memory', 'tcp://129.114.91.2:37310', 46941277345536, [('compute', 1496173858.528976, 1496173859.7619898)]]
['getitem-4d25814a082d9c180432cefb557868a2', 'processing', 'memory', 'tcp://129.114.91.2:37310', 46941277345536, [('compute', 1496173859.7628977, 1496173859.7629027)]]
['block_rmsd-34f3c2809d2c61f489e49b148c91a17b', 'processing', 'memory', 'tcp://129.114.91.2:35456', 46941277345536, [('compute', 1496173858.559218, 1496173859.7780669)]]
['getitem-4eb50db3be46e9ab2fe028e896f441b9', 'processing', 'memory', 'tcp://129.114.91.2:35456', 46941277345536, [('compute', 1496173859.778982, 1496173859.778987)]]
['block_rmsd-7f1ec8e20b084b4b277a431ff9a41b45', 'processing', 'memory', 'tcp://129.114.91.2:48105', 46941277345536, [('compute', 1496173858.5487509, 1496173859.7818418)]]
['getitem-3fc99bfb5a6ec7894152f155dae0c7f5', 'processing', 'memory', 'tcp://129.114.91.2:48105', 46941277345536, [('compute', 1496173859.782719, 1496173859.7827227)]]
['block_rmsd-ca0dce6cece774d785bf249228fb064b', 'processing', 'memory', 'tcp://129.114.91.3:43393', 47363083609856, [('compute', 1496173858.588576, 1496173859.7948132)]]
['getitem-32c34ff591b2c2eab4805f1c91135c5c', 'processing', 'memory', 'tcp://129.114.91.3:43393', 47363083609856, [('compute', 1496173859.795655, 1496173859.7956612)]]
['block_rmsd-5a5039a3c1a893c296a25eda7d1d34f3', 'processing', 'memory', 'tcp://129.114.91.3:47287', 47363083609856, [('compute', 1496173858.52191, 1496173859.806007)]]
['getitem-313091631230d296f0bf6009722c92d0', 'processing', 'memory', 'tcp://129.114.91.3:47287', 47363083609856, [('compute', 1496173859.806773, 1496173859.8067768)]]
['block_rmsd-968328a4553549a1efa34ac3fb206bc1', 'processing', 'memory', 'tcp://129.114.91.2:38045', 46941277345536, [('compute', 1496173858.537226, 1496173859.780448)]]
['getitem-4b2a82c88c64d59f8b43d9104e8209f4', 'processing', 'memory', 'tcp://129.114.91.2:38045', 46941277345536, [('compute', 1496173859.781525, 1496173859.781607)]]
