['block_rmsd-c582d281981a38742830aa714b56abe1', 'processing', 'memory', 'tcp://129.114.91.1:48617', 47891426555648, [('compute', 1496176203.632005, 1496176209.191196)]]
['getitem-1756cce105a8ccb6cab28a6316534652', 'processing', 'memory', 'tcp://129.114.91.1:48617', 47891426555648, [('compute', 1496176209.192198, 1496176209.1922061)]]
['block_rmsd-25224afc16d455515fba16dfa94cdd04', 'processing', 'memory', 'tcp://129.114.91.1:36358', 47891426555648, [('compute', 1496176203.305415, 1496176209.557736)]]
['getitem-1fa1d8ad3473c6340489a0f02f773c08', 'processing', 'memory', 'tcp://129.114.91.1:36358', 47891426555648, [('compute', 1496176209.5586948, 1496176209.5586998)]]
['block_rmsd-87953bf6b1fc65dc9bbe591cabdf272d', 'processing', 'memory', 'tcp://129.114.91.2:48105', 46941277345536, [('compute', 1496176194.0247, 1496176209.646841)]]
['block_rmsd-c4506f07bc80f74de845362faa93d60a', 'processing', 'memory', 'tcp://129.114.90.254:46968', 47520476657408, [('compute', 1496176204.30634, 1496176210.102283)]]
['getitem-2993543f101857d93f9d52181e18e4c0', 'processing', 'memory', 'tcp://129.114.90.254:46968', 47520476657408, [('compute', 1496176210.103725, 1496176210.103731)]]
['block_rmsd-e98fc7444fddd101fcc9c8f2093c509d', 'processing', 'memory', 'tcp://129.114.90.254:44884', 47520476657408, [('compute', 1496176204.608108, 1496176210.18138)]]
['getitem-2eae658bb09607bec7646f18c7573cb3', 'processing', 'memory', 'tcp://129.114.90.254:44884', 47520476657408, [('compute', 1496176210.182846, 1496176210.182852)]]
['block_rmsd-260eef1c3f365bff3ea94b1c196ac5db', 'processing', 'memory', 'tcp://129.114.90.254:40862', 47520476657408, [('compute', 1496176204.231977, 1496176210.238729)]]
['getitem-307ca93612ff4e63c5b3fab01faff52f', 'processing', 'memory', 'tcp://129.114.90.254:40862', 47520476657408, [('compute', 1496176210.240156, 1496176210.240161)]]
['block_rmsd-9ffe9877ebfecb6907ad201bd1131e13', 'processing', 'memory', 'tcp://129.114.91.1:58144', 47891426555648, [('compute', 1496176204.0428529, 1496176210.3296528)]]
['getitem-15d2b418c5c4e8c0fb8e5344e743c289', 'processing', 'memory', 'tcp://129.114.91.1:58144', 47891426555648, [('compute', 1496176210.330596, 1496176210.330602)]]
['block_rmsd-5b42be416376fe5b8c9969b9de5badce', 'processing', 'memory', 'tcp://129.114.91.3:37065', 47363083609856, [('compute', 1496176203.7878082, 1496176210.8315501)]]
