Produce_batch_Start,Produce_batch_Stop,Num_Messages,Number_APoints/Msg,KB_Transfered,KB/sec
1104000,1112000,276,8000,137340.0,4491.78994308
1112000,1120000,277,8000,137834.0,4493.86387569
1120000,1128000,278,8000,138327.0,4495.79926642
1128000,1136000,279,8000,138821.0,4497.81840327
1136000,1144000,280,8000,139314.0,4495.145952
1144000,1152000,281,8000,139807.0,4491.20387485
1152000,1160000,282,8000,140301.0,4488.67636864
1160000,1168000,283,8000,140794.0,4494.41415248
1168000,1176000,284,8000,141288.0,4496.48860599
1176000,1184000,285,8000,141781.0,4491.86393544
1184000,1192000,286,8000,142274.0,4493.87479572
1192000,1200000,287,8000,142768.0,4491.35105776
1200000,1208000,288,8000,143261.0,4496.82549381
1208000,1216000,289,8000,143770.0,4501.04688581
1216000,1224000,290,8000,144280.0,4500.78908198
1224000,1232000,291,8000,144790.0,4505.185109
1232000,1240000,292,8000,145299.0,4509.55544155
1240000,1248000,293,8000,145809.0,4513.98859202
1248000,1256000,294,8000,146318.0,4513.11970484
1256000,1264000,295,8000,146828.0,4517.64628378
1264000,1272000,296,8000,147337.0,4519.8234077
1272000,1280000,297,8000,147847.0,4524.3010013
1280000,1288000,298,8000,148356.0,4526.55959486
1288000,1296000,299,8000,148866.0,4526.97233234
1296000,1304000,300,8000,149375.0,4532.6434142
1304000,1312000,301,8000,149870.0,4536.82695822
1312000,1320000,302,8000,150349.0,4540.69733367
1320000,1328000,303,8000,150829.0,4544.49939508
1328000,1336000,304,8000,151308.0,4548.22353264
1336000,1344000,305,8000,151788.0,4553.39278411
1344000,1352000,306,8000,152268.0,4552.62099737
1352000,1360000,307,8000,152747.0,4556.49446409
1360000,1368000,308,8000,153227.0,4558.07682739
1368000,1376000,309,8000,153706.0,4555.27532476
1376000,1384000,310,8000,154186.0,4556.82289574
1384000,1392000,311,8000,154665.0,4554.0472631
1392000,1400000,312,8000,155145.0,4559.02359557
1400000,1408000,313,8000,155625.0,4562.65811259
1408000,1416000,314,8000,156129.0,4564.70974942
1416000,1424000,315,8000,156633.0,4562.47612994
1424000,1432000,316,8000,157137.0,4564.62443312
1432000,1440000,317,8000,157641.0,4570.15200058
1440000,1448000,318,8000,158145.0,4570.93342171
1448000,1456000,319,8000,158649.0,4575.15064971
1456000,1464000,320,8000,159153.0,4577.30077636
1464000,1472000,321,8000,159657.0,4581.41122483
1472000,1480000,322,8000,160161.0,4585.60435237
1480000,1488000,323,8000,160665.0,4590.93304022
1488000,1496000,324,8000,161169.0,4592.9122999
1496000,1504000,325,8000,161673.0,4598.16621164
1504000,1512000,326,8000,162168.0,4601.85033321
1512000,1520000,327,8000,162654.0,4603.27430294
1520000,1528000,328,8000,163140.0,4604.68130414
1528000,1536000,329,8000,163627.0,4605.55262915
1536000,1544000,330,8000,164113.0,4592.36193378
1544000,1552000,331,8000,164600.0,4593.72134503
1552000,1560000,332,8000,165086.0,4590.95590477
1560000,1568000,333,8000,165573.0,4592.33010005
1568000,1576000,334,8000,166060.0,4589.58467484
1576000,1584000,335,8000,166546.0,4590.89055575
1584000,1592000,336,8000,167032.0,4595.41426293
1592000,1600000,337,8000,167519.0,4592.65367031
